schema_name,table_name,ordinal_position,column_name,data_type,is_nullable,column_default,primary_key_name,is_primary_key,foreign_key_name,referenced_schema,referenced_table,referenced_column,column_description,table_description
ipa,ipa,43,home_email,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,44,registered_manager_name,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,45,registered_manager_phone,character varying(20),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,46,registered_manager_email,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,47,registered_manager_registration_number,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,48,registered_manager_email_address,character varying(100),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,49,provider_urn,character varying(50),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,50,education_included_with_referral,boolean,YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,51,education_provision_name,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,52,education_addr_line1,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,53,education_addr_town,character varying(100),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,54,education_addr_postcode,character varying(20),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,55,education_location,character varying(100),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,56,education_length_weeks,integer,YES,NULL,,NO,,,,,NULL,NULL
